지점,지점명,일시,기온(°C),기온 QC플래그,강수량(mm),강수량 QC플래그,풍속(m/s),풍속 QC플래그,풍향(16방위),풍향 QC플래그,습도(%),습도 QC플래그,증기압(hPa),이슬점온도(°C),현지기압(hPa),현지기압 QC플래그,해면기압(hPa),해면기압 QC플래그,일조(hr),일조 QC플래그,일사(MJ/m2),일사 QC플래그,적설(cm),3시간신적설(cm),전운량(10분위),중하층운량(10분위),운형(운형약어),최저운고(100m ),시정(10m),지면상태(지면상태코드),현상번호(국내식),지면온도(°C),지면온도 QC플래그,5cm 지중온도(°C),10cm 지중온도(°C),20cm 지중온도(°C),30cm 지중온도(°C)
108,서울,2017-01-01 00:00,.2,0,,9,2.2,0,20,0,79,0,4.9,-3,1018.8,0,1029.7,0,,9,,9,,,7,7,Sc,8,491,,40,-.9,0,.1,.3,1.7,2.6
108,서울,2017-01-01 01:00,0,0,,,1.4,0,20,0,78,0,4.8,-3.3,1018.9,0,1029.9,0,,9,,9,,,,4,,7,549,,40,-.9,0,0,.3,1.7,2.6
108,서울,2017-01-01 02:00,-.3,0,,,1.9,0,50,0,81,0,4.9,-3.1,1018.5,0,1029.4,0,,9,,9,,,,1,,8,483,,4019,-1.8,0,0,.3,1.7,2.6
108,서울,2017-01-01 03:00,-.7,0,,,2,0,50,0,84,0,4.9,-3,1018.8,0,1029.8,0,,9,,9,,,0,0,,,436,,19,-2.1,0,0,.3,1.7,2.7
108,서울,2017-01-01 04:00,-1.1,0,,,1.6,0,20,0,85,0,4.8,-3.3,1018.6,0,1029.6,0,,9,,9,,,0,0,,,430,,19,-2.4,0,-.1,.4,1.7,2.6
108,서울,2017-01-01 05:00,-1.4,0,,,1.4,0,50,0,86,0,4.8,-3.4,1018.3,0,1029.3,0,,9,,9,,,0,0,,,381,,19,-2.6,0,-.2,.4,1.7,2.6
108,서울,2017-01-01 06:00,-1.5,0,,,1.6,0,20,0,87,0,4.8,-3.3,1018.1,0,1029.1,0,,9,,9,,,3,3,Sc,7,365,,19,-2.7,0,-.2,.4,1.7,2.6
108,서울,2017-01-01 07:00,-1.5,0,,,1.4,0,20,0,87,0,4.8,-3.3,1018.6,0,1029.6,0,,9,,9,,,8,8,Sc,7,368,,19,-2.2,0,-.3,.4,1.7,2.6
108,서울,2017-01-01 08:00,-1.3,0,,,1.4,0,20,0,87,0,4.9,-3.1,1019,0,1030,0,0,0,.01,0,,,8,8,Sc,10,355,,19,-1.8,0,-.1,.4,1.7,2.6
108,서울,2017-01-01 09:00,-.4,0,,,1.6,0,20,0,83,0,4.9,-2.9,1019.4,0,1030.4,0,0,0,.16,0,,,9,9,Sc,10,384,,19,-.2,0,0,.4,1.7,2.6
108,서울,2017-01-01 10:00,.8,0,,,2.1,0,50,0,77,0,5,-2.7,1020.1,0,1031,0,.1,0,.28,0,,,9,9,Sc,10,422,,19,.6,0,.1,.5,1.7,2.6
108,서울,2017-01-01 11:00,2.5,0,,,1.9,0,50,0,71,0,5.2,-2.2,1019.9,0,1030.7,0,.6,0,.71,0,,,9,9,Sc,10,418,,19,2.9,0,.2,.5,1.7,2.6
108,서울,2017-01-01 12:00,4,0,,,1.3,0,50,0,69,0,5.6,-1.1,1018.7,0,1029.5,0,.2,0,.86,0,,,9,9,Sc,8,433,,4019,3.6,0,.4,.5,1.7,2.6
108,서울,2017-01-01 13:00,5.1,0,,,1.4,0,20,0,65,0,5.7,-.9,1017.9,0,1028.6,0,.1,0,.73,0,,,8,7,ScCi,8,430,,40,5.1,0,.6,.5,1.7,2.6
108,서울,2017-01-01 14:00,6.7,0,,,.7,0,340,0,61,0,6,-.3,1017.1,0,1027.7,0,.7,0,.9,0,,,8,7,ScCi,7,442,,40,7.2,0,1.1,.5,1.7,2.6
108,서울,2017-01-01 15:00,6.9,0,,,.9,0,230,0,65,0,6.4,.7,1016.8,0,1027.4,0,0,0,.41,0,,,9,9,Sc,8,471,,40,5,0,1.1,.6,1.7,2.6
108,서울,2017-01-01 16:00,6.8,0,,,1.2,0,230,0,67,0,6.6,1,1016.5,0,1027.1,0,0,0,.21,0,,,9,9,Sc,7,491,,40,4.3,0,1.1,.7,1.8,2.6
108,서울,2017-01-01 17:00,6.5,0,,,.7,0,20,0,69,0,6.7,1.2,1016.2,0,1026.8,0,0,0,.1,0,,,9,9,Sc,8,435,,40,3.2,0,1.2,.7,1.8,2.6
108,서울,2017-01-01 18:00,5.6,0,,,2.4,0,50,0,70,0,6.3,.5,1015.8,0,1026.5,0,0,0,.01,0,,,8,8,Sc,9,384,,40,2.4,0,1.2,.8,1.8,2.6
108,서울,2017-01-01 19:00,4.8,0,,,2.2,0,50,0,73,0,6.2,.3,1015.5,0,1026.2,0,,9,,9,,,,8,,11,383,,40,1.2,0,.9,.8,1.8,2.6
108,서울,2017-01-01 20:00,4.2,0,,,1.9,0,70,0,73,0,6,-.2,1015.4,0,1026.1,0,,9,,9,,,,6,,11,383,,40,.6,0,.7,.9,1.9,2.6
108,서울,2017-01-01 21:00,4,0,,,2.6,0,50,0,74,0,6,-.2,1014.6,0,1025.3,0,,9,,9,,,9,9,Sc,10,366,,40,.8,0,.9,.9,1.9,2.7
108,서울,2017-01-01 22:00,3.9,0,,,1.4,0,20,0,75,0,6.1,-.1,1014.4,0,1025.1,0,,9,,9,,,,9,,10,359,,40,1.4,0,1.1,.9,1.9,2.7
108,서울,2017-01-01 23:00,3.9,0,,,1.4,0,20,0,75,0,6.1,-.1,1014.1,0,1024.8,0,,9,,9,,,,9,,11,357,,40,1.5,0,1.2,.9,1.9,2.7
108,서울,2017-01-02 00:00,3.9,0,,,1.5,0,20,0,75,0,6.1,-.1,1014.2,0,1024.9,0,,9,,9,,,9,9,,,359,,40,1.8,0,1.3,1,1.9,2.7
108,서울,2017-01-02 01:00,3.9,0,,,2.1,0,50,0,75,0,6.1,-.1,1013.5,0,1024.2,0,,9,,9,,,,9,,11,345,,40,1.8,0,1.4,1,2,2.7
108,서울,2017-01-02 02:00,3.8,0,,,2.2,0,20,0,77,0,6.2,.1,1013,0,1023.7,0,,9,,9,,,,2,,6,330,,40,1.6,0,1.4,1.1,2,2.7
108,서울,2017-01-02 03:00,3.7,0,,,1.7,0,50,0,76,0,6.1,-.1,1013.3,0,1024,0,,9,,9,,,9,9,Sc,10,339,,40,1.7,0,1.4,1.1,2,2.7
108,서울,2017-01-02 04:00,3.7,0,,,1.5,0,20,0,77,0,6.1,0,1012.7,0,1023.4,0,,9,,9,,,10,8,ScAs,4,331,,40,1.7,0,1.6,1.2,2.1,2.8
108,서울,2017-01-02 05:00,3.7,0,,9,1.5,0,20,0,80,0,6.3,.5,1012.2,0,1022.9,0,,9,,9,,,10,7,ScAs,4,328,,401901,2.3,0,1.7,1.3,2.1,2.8
108,서울,2017-01-02 06:00,3.6,0,.3,0,1.1,0,20,0,89,0,7,1.9,1011.6,0,1022.3,0,,9,,9,,,10,7,ScAs,4,170,,1901,2.2,0,1.8,1.4,2.1,2.8
108,서울,2017-01-02 07:00,3.6,0,,9,1.1,0,360,0,88,0,6.9,1.7,1011.6,0,1022.3,0,,9,,9,,,10,7,ScAs,4,198,,19,2.6,0,2,1.5,2.2,2.8
108,서울,2017-01-02 08:00,3.8,0,,9,1.4,0,20,0,87,0,7,1.8,1011.4,0,1022.1,0,0,0,.01,0,,,10,6,ScAs,10,224,,1901,2.9,0,2.2,1.7,2.2,2.8
108,서울,2017-01-02 09:00,4.1,0,0,0,.9,0,360,0,87,0,7.1,2.1,1011.5,0,1022.2,0,0,0,.06,0,,,10,7,ScAs,10,216,,19,3.6,0,2.4,1.8,2.3,2.9
108,서울,2017-01-02 10:00,5.2,0,,9,2.4,0,230,0,86,0,7.6,3,1011.9,0,1022.6,0,0,0,.16,0,,,9,9,Sc,10,305,,19,5.2,0,2.8,2,2.3,2.9
108,서울,2017-01-02 11:00,6.3,0,,9,2.3,0,230,0,82,0,7.8,3.4,1012,0,1022.6,0,0,0,.52,0,,,9,9,Sc,10,294,,19,9,0,4,2.3,2.5,2.9
108,서울,2017-01-02 12:00,7.6,0,,9,2.1,0,230,0,70,0,7.3,2.4,1011.3,0,1021.8,0,.3,0,.77,0,,,7,7,Sc,10,409,,4019,12.2,0,5.1,2.7,2.6,3
108,서울,2017-01-02 13:00,8.1,0,,9,3.1,0,230,0,69,0,7.4,2.7,1010.8,0,1021.3,0,1,0,1.08,0,,,8,8,Sc,10,367,,40,13.3,0,6.7,3.4,2.7,3
108,서울,2017-01-02 14:00,9.2,0,,9,3.1,0,200,0,59,0,6.8,1.5,1010.2,0,1020.7,0,.9,0,1.15,0,,,6,6,Sc,7,331,,40,15.2,0,7.8,4.1,3,3.1
108,서울,2017-01-02 15:00,8.3,0,,9,3.6,0,250,0,64,0,7,1.8,1010.3,0,1020.8,0,.5,0,.71,0,,,8,8,Sc,7,305,,40,10.9,0,7.9,4.8,3.3,3.2
108,서울,2017-01-02 16:00,8,0,,9,3.2,0,250,0,65,0,7,1.8,1010.7,0,1021.2,0,0,0,.44,0,,,8,8,Sc,7,262,,40,9.8,0,7.4,5.1,3.6,3.3
108,서울,2017-01-02 17:00,7.1,0,,9,2.3,0,250,0,69,0,6.9,1.7,1011,0,1021.6,0,0,0,.19,0,,,6,6,Sc,7,247,,40,6.6,0,6.6,5.1,3.8,3.5
108,서울,2017-01-02 18:00,6.4,0,,9,2.1,0,270,0,73,0,7,1.9,1011.4,0,1022,0,0,0,.02,0,,,8,8,Sc,7,221,,40,5.3,0,5.7,5,4,3.6
108,서울,2017-01-02 19:00,6,0,,9,2,0,250,0,78,0,7.3,2.4,1011.6,0,1022.2,0,,9,,9,,,,9,,7,193,,40,4.6,0,5.3,4.8,4.1,3.8
108,서울,2017-01-02 20:00,5,0,,9,3.2,0,250,0,81,0,7.1,2,1011.9,0,1022.6,0,,9,,9,,,,5,,4,184,,4019,2.3,0,4.5,4.6,4.2,3.8
108,서울,2017-01-02 21:00,4.3,0,,9,3.1,0,270,0,84,0,7,1.8,1012,0,1022.7,0,,9,,9,,,9,9,Sc,8,164,,19,3,0,3.9,4.3,4.2,3.9
108,서울,2017-01-02 22:00,3.7,0,,9,3,0,290,0,78,0,6.2,.2,1012.3,0,1023,0,,9,,9,,,,6,,3,197,,19,2.2,0,3.8,4.1,4.2,4
108,서울,2017-01-02 23:00,2.8,0,,9,2.8,0,320,0,76,0,5.7,-1,1012.8,0,1023.6,0,,9,,9,,,,2,,,224,,19,0,0,3.4,3.9,4.1,4
108,서울,2017-01-03 00:00,1.8,0,,9,1.5,0,360,0,79,0,5.5,-1.4,1013.2,0,1024,0,,9,,9,,,0,0,,,205,,19,-.5,0,2.5,3.6,4.1,4.1
108,서울,2017-01-03 01:00,1,0,,,2.6,0,270,0,82,0,5.4,-1.7,1013.3,0,1024.1,0,,9,,9,,,,8,,6,194,,19,-.7,0,1.9,3.3,4,4.1
108,서울,2017-01-03 02:00,.2,0,,,1.4,0,270,0,83,0,5.2,-2.3,1013.4,0,1024.3,0,,9,,9,,,,1,,,213,,19,-1.6,0,1.6,3,3.9,4.1
108,서울,2017-01-03 03:00,-.7,0,,,.8,0,360,0,79,0,4.6,-3.8,1013.7,0,1024.6,0,,9,,9,,,0,0,,,275,,19,-2.2,0,1.3,2.8,3.8,4.1
108,서울,2017-01-03 04:00,-1,0,,,2.2,0,270,0,72,0,4.1,-5.4,1014.1,0,1025,0,,9,,9,,,0,0,,,363,,19,-2.4,0,1.1,2.6,3.7,4.1
108,서울,2017-01-03 05:00,-1.3,0,,,1.9,0,290,0,73,0,4.1,-5.5,1014.1,0,1025,0,,9,,9,,,0,0,,,390,,19,-2.9,0,.9,2.3,3.6,4.1
108,서울,2017-01-03 06:00,-1.8,0,,,1.4,0,270,0,73,0,3.9,-6,1013.9,0,1024.9,0,,9,,9,,,0,0,,,385,,19,-3.4,0,.8,2.2,3.4,4
108,서울,2017-01-03 07:00,-2.1,0,,,1.4,0,250,0,72,0,3.8,-6.4,1014.2,0,1025.2,0,,9,,9,,,0,0,,,494,,4019,-4.1,0,.6,2.1,3.3,3.9
108,서울,2017-01-03 08:00,-2.1,0,,,1.2,0,270,0,67,0,3.5,-7.4,1014.6,0,1025.6,0,0,0,.01,0,,,0,0,,,593,,40,-3.1,0,.5,1.9,3.2,3.9
108,서울,2017-01-03 09:00,-1.4,0,,,.1,0,0,0,60,0,3.3,-8.1,1015,0,1026,0,.8,0,.25,0,,,0,0,,,621,,40,-.7,0,.5,1.9,3.1,3.9
108,서울,2017-01-03 10:00,1.1,0,,,.8,0,250,0,55,0,3.6,-6.9,1015,0,1025.9,0,1,0,.69,0,,,0,0,,,572,,40,2.1,0,.7,1.8,3.1,3.8
108,서울,2017-01-03 11:00,4.1,0,,,1.2,0,200,0,53,0,4.3,-4.6,1014.7,0,1025.4,0,1,0,1.13,0,,,0,0,,,628,,40,6.2,0,1,1.8,3,3.7
108,서울,2017-01-03 12:00,5.9,0,,,2.4,0,200,0,44,0,4.1,-5.4,1014,0,1024.7,0,1,0,1.41,0,,,0,0,,,684,,40,9,0,3.1,2,3,3.7
108,서울,2017-01-03 13:00,7,0,,,3,0,200,0,39,0,3.9,-6,1013.2,0,1023.8,0,1,0,1.53,0,,,0,0,,,760,,40,12.5,0,4.9,2.6,3,3.7
108,서울,2017-01-03 14:00,7,0,,,3.2,0,250,0,43,0,4.3,-4.7,1012.7,0,1023.3,0,1,0,1.3,0,,,0,0,,,790,,40,11.8,0,6,3.2,3.1,3.7
108,서울,2017-01-03 15:00,7.2,0,,,3.7,0,250,0,47,0,4.8,-3.3,1012.6,0,1023.2,0,1,0,1.13,0,,,0,0,,,904,,40,9.7,0,6.9,3.9,3.3,3.7
108,서울,2017-01-03 16:00,6.9,0,,,3.3,0,230,0,48,0,4.8,-3.3,1012.4,0,1023,0,1,0,.73,0,,,0,0,,,981,,40,7.1,0,6.7,4.3,3.5,3.8
108,서울,2017-01-03 17:00,5.3,0,,,2.8,0,270,0,56,0,5,-2.7,1012.4,0,1023.1,0,1,0,.31,0,,,0,0,,,1629,,40,2.9,0,5.7,4.5,3.8,3.8
108,서울,2017-01-03 18:00,3.8,0,,,2.6,0,270,0,60,0,4.8,-3.2,1012.1,0,1022.8,0,.1,0,.02,0,,,0,0,,,1689,,,.4,0,4.1,4.3,3.9,3.9
108,서울,2017-01-03 19:00,2.8,0,,,1.9,0,270,0,61,0,4.6,-3.9,1012.4,0,1023.2,0,,9,,9,,,,0,,,1860,,,0,0,2.9,4,4,4
108,서울,2017-01-03 20:00,2.2,0,,,2.1,0,270,0,61,0,4.4,-4.5,1012.7,0,1023.5,0,,9,,9,,,,0,,,1986,,,-.4,0,2.2,3.6,4,4.1
108,서울,2017-01-03 21:00,1.8,0,,,1.8,0,270,0,60,0,4.2,-5.1,1012.8,0,1023.6,0,,9,,9,,,0,0,,,1978,,,-.7,0,1.8,3.2,3.9,4.1
108,서울,2017-01-03 22:00,1.7,0,,,1.6,0,270,0,63,0,4.3,-4.6,1012.8,0,1023.6,0,,9,,9,,,,0,,,1826,,,-.9,0,1.5,2.9,3.8,4.1
108,서울,2017-01-03 23:00,1.2,0,,,.9,0,290,0,68,0,4.5,-4,1012.8,0,1023.6,0,,9,,9,,,,0,,,1668,,,-1.3,0,1.3,2.7,3.7,4.1
108,서울,2017-01-04 00:00,1,0,,,.4,0,0,0,71,0,4.7,-3.6,1013,0,1023.8,0,,9,,9,,,9,9,Sc,,1623,,,-.8,0,1.1,2.5,3.6,4.1
108,서울,2017-01-04 01:00,1.8,0,,,.2,0,0,0,72,0,5,-2.7,1012.6,0,1023.4,0,,9,,9,,,,9,,5,1558,,,-.1,0,1.2,2.4,3.5,4.1
108,서울,2017-01-04 02:00,1.9,0,,,.7,0,360,0,70,0,4.9,-3,1012.6,0,1023.4,0,,9,,9,,,,9,,6,1672,,,-.4,0,1.2,2.3,3.4,4
108,서울,2017-01-04 03:00,2.1,0,,,.5,0,20,0,70,0,5,-2.8,1012.7,0,1023.5,0,,9,,9,,,9,9,Sc,5,1633,,,-.1,0,1.2,2.2,3.3,4
108,서울,2017-01-04 04:00,2.2,0,,,.7,0,20,0,70,0,5,-2.7,1012.5,0,1023.3,0,,9,,9,,,7,7,Sc,8,1528,,,0,0,1.2,2.1,3.2,3.9
108,서울,2017-01-04 05:00,2.5,0,,,1,0,20,0,72,0,5.3,-2,1012.6,0,1023.4,0,,9,,9,,,9,9,Sc,4,1252,,,.1,0,1.2,2.1,3.2,3.9
108,서울,2017-01-04 06:00,2.5,0,,,1.1,0,360,0,74,0,5.4,-1.6,1012.3,0,1023.1,0,,9,,9,,,8,8,Sc,4,1228,,,.1,0,1.2,2.1,3.1,3.9
108,서울,2017-01-04 07:00,2.5,0,,,1.2,0,20,0,74,0,5.4,-1.6,1012.8,0,1023.6,0,,9,,9,,,6,6,Sc,4,1188,,,-.1,0,1.4,2.1,3.1,3.9
108,서울,2017-01-04 08:00,1.9,0,,,.8,0,360,0,77,0,5.4,-1.7,1013.3,0,1024.1,0,0,0,.01,0,,,2,2,Sc,4,1067,,,-.8,0,1.1,2,3.1,3.8
108,서울,2017-01-04 09:00,1.9,0,,,.9,0,360,0,73,0,5.1,-2.4,1013.9,0,1024.7,0,.6,0,.22,0,,,0,0,,,909,,19,.1,0,1.1,1.9,3,3.8
108,서울,2017-01-04 10:00,4,0,,,2.4,0,270,0,75,0,6.1,0,1014.2,0,1024.9,0,1,0,.65,0,,,1,0,Ci,,396,,4019,3.1,0,2,2,3,3.8
108,서울,2017-01-04 11:00,6,0,,,2.4,0,270,0,65,0,6.1,0,1014.4,0,1025.1,0,1,0,1.09,0,,,0,0,,,434,,40,9.9,0,4,2.3,3,3.7
108,서울,2017-01-04 12:00,6.4,0,,,3.5,0,270,0,56,0,5.4,-1.7,1013.4,0,1024,0,1,0,1.45,0,,,0,0,,,557,,40,13.5,0,6.1,2.9,3,3.7
